"Choctaw County,  Mississippi", Mississippi
"Choctaw County,  Oklahoma", Oklahoma
"Chouteau County,  Montana", Montana
"Chowan County,  North Carolina", North Carolina
"Christian County,  Illinois", Illinois
"Christian County,  Kentucky", Kentucky
"Christian County,  Missouri", Missouri
"Chugach Census Area,  Alaska", Alaska
"Churchill County,  Nevada", Nevada
"Ciales Municipality,  Puerto Rico", Puerto Rico
"Cibola County,  New Mexico", New Mexico
"Cidra Municipality,  Puerto Rico", Puerto Rico
"Cimarron County,  Oklahoma", Oklahoma
"Citrus County,  Florida", Florida
"Clackamas County,  Oregon", Oregon
"Claiborne County,  Mississippi", Mississippi
"Claiborne County,  Tennessee", Tennessee
"Claiborne Parish,  Louisiana", Louisiana
"Clallam County,  Washington", Washington
"Clare County,  Michigan", Michigan
"Clarendon County,  South Carolina", South Carolina
"Clarion County,  Pennsylvania", Pennsylvania
"Clark County,  Arkansas", Arkansas
"Clark County,  Idaho", Idaho
"Clark County,  Illinois", Illinois
"Clark County,  Indiana", Indiana
"Clark County,  Kansas", Kansas
"Clark County,  Kentucky", Kentucky
"Clark County,  Missouri", Missouri
"Clark County,  Nevada", Nevada
"Clark County,  Ohio", Ohio
"Clark County,  South Dakota", South Dakota
"Clark County,  Washington", Washington
"Clark County,  Wisconsin", Wisconsin
"Clarke County,  Alabama", Alabama
"Clarke County,  Georgia", Georgia
"Clarke County,  Iowa", Iowa
"Clarke County,  Mississippi", Mississippi
"Clarke County,  Virginia", Virginia
"Clatsop County,  Oregon", Oregon
"Clay County,  Alabama", Alabama
"Clay County,  Arkansas", Arkansas
"Clay County,  Florida", Florida
"Clay County,  Georgia", Georgia
"Clay County,  Illinois", Illinois
"Clay County,  Indiana", Indiana
"Clay County,  Iowa", Iowa
"Clay County,  Kansas", Kansas
"Clay County,  Kentucky", Kentucky
"Clay County,  Minnesota", Minnesota
"Clay County,  Mississippi", Mississippi
"Clay County,  Missouri", Missouri
"Clay County,  Nebraska", Nebraska
"Clay County,  North Carolina", North Carolina
"Clay County,  South Dakota", South Dakota
"Clay County,  Tennessee", Tennessee
"Clay County,  Texas", Texas
